,czid_nt,czid_nr,kaiju
GCF_030704535.1,0.8361192386842531,0.9784029863976094,0.5414778841368747
GCF_000150955.2,0.01605766871180634,0.3045473718897615,0.7059993017747956
GCF_000002765.6,0.39934454357365606,0.43326958224876055,1.1076875144029392
GCF_000208865.1,0.07248283622430901,0.26298084864303745,0.829158652267667
GCF_032362555.1,1.7165163971904167,1.036410414073837,0.18853957720226364
GCF_000016525.1,0.10197690525670325,0.4492106187001159,0.38117842507280564
GCF_002287195.1,0.791472447872396,0.3098342555326736,0.2651626634390702
GCF_000007345.1,0.060332079899673,0.47719187666453555,0.8275204619200796
GCF_000204415.1,0.002875480410581421,0.8417803969722405,0.8428687580732809
GCF_000063445.1,0.01052175401248471,0.043015554920810294,0.32851251329614256
GCF_000012325.1,0.006240365185815697,0.9083434483035273,0.8210447102787222
GCF_002310855.1,0.00922150533637656,1.6087422732595145,0.5697797582764234
GCF_000967895.1,0.00488797534365164,0.13579341627711577,0.23790006476868256
GCF_009362255.1,0.0451254812348076,1.050453342825739,0.5995146402660627
GCF_001653755.1,0.0070230178316005075,0.22660825944850702,0.8058073883440686
