,order,read count,relative error
0,Abditibacteriales,1000,0.3262300032172656
1,Acanthocystida,1000,1.3933765959688684
2,Acanthoecida,1000,0.2182491298664359
3,Acanthopleuribacterales,1000,0.7928036095689294
4,Acarosporales,1000,0.9842540203333006
5,Acaryochloridales,1000,0.5643951227886789
6,Acetobacterales,1000,0.49784587174383366
7,Acholeplasmatales,1000,0.7829984489733683
8,Acidaminococcales,1000,1.506632156537322
9,Acidiferrobacterales,1000,0.3679780591121979
10,Acidilobales,1000,0.2994849060443224
11,Acidimicrobiales,1000,0.32369252008389865
12,Acidithiobacillales,1000,0.6208007921126631
13,Acidothermales,1000,0.9891336741160479
14,Acoela,1000,1.3672026472131513
15,Acrochaetiales,1000,1.243890320318515
16,Acrospermales,1000,1.4678973619982891
17,Acrosymphytales,1000,
18,Actiniaria,1000,1.1733631033210388
19,Actinomycetales,1000,0.2957658348189998
20,Actinopolysporales,1000,1.1957282635475028
21,Acytosteliales,1000,0.2508051362671897
22,Adapedonta,1000,
23,Adinetida,1000,0.8486781522553148
24,Aeromonadales,1000,0.5115372915985908
25,Agaricales,1000,0.7660567343578409
26,Agaricostilbales,1000,
27,Agelasida,1000,
28,Aggregatilineales,1000,0.5102562485512525
29,Ahnfeltiales,1000,1.591110212991801
30,Alaninales,1000,0.7706415651494362
31,Albuginales,1000,2.4935560431170356
32,Algavirales,1000,1.0970921794978317
33,Alismatales,1000,0.7527678064284753
34,Alteromonadales,1000,0.026969970262747278
35,Amborellales,1000,1.326335607655829
36,Amphidiniales,1000,0.47730241151860603
37,Amphipoda,1000,0.801619650726443
38,Amylocorticiales,1000,1.3577758753189697
39,Anaerolineales,1000,0.7006881221658582
40,Anaeroplasmatales,1000,0.2171590192089142
41,Anaerosomatales,1000,0.8756676225097255
42,Anaulales,1000,0.850648992374681
43,Ancyromonadida,1000,
44,Andreaeales,1000,
45,Anisolpidiales,1000,0.5703349366779717
46,Anostraca,1000,1.4970661770837048
47,Anthoathecata,1000,0.25921667410065863
48,Anthocerotales,1000,
49,Antipatharia,1000,
50,Aphragmophora,1000,0.22074183861257501
51,Apiales,1000,1.9937697319658934
52,Aplysiida,1000,0.8518094199753712
53,Apochela,1000,
54,Apusomonadida,1000,1.0727513361852699
55,Aquificales,1000,0.2898836043187798
56,Aquifoliales,1000,
57,Araneae,1000,0.9445090276266389
58,Araucariales,1000,
59,Arcellinida,1000,0.3484766823732046
60,Archaeoglobales,1000,0.4062818458970134
61,Archaeognatha,1000,
62,Archaeosporales,1000,0.6599695832396338
63,Architaenioglossa,1000,0.31841841244843266
64,Arcoida,1000,1.0469352786020334
65,Ardenticatenales,1000,1.020406312365769
66,Ardissoneales,1000,2.377092232564091
67,Arecales,1000,1.3466877180448722
68,Arenicellales,1000,0.5465540783619842
69,Arguloida,1000,
70,Armatimonadales,1000,0.794008037513224
71,Arthoniales,1000,0.7293495168524537
72,Articulavirales,1000,
73,Ascoideales,1000,1.174338161554015
74,Asfuvirales,1000,0.8362764205294484
75,Asparagales,1000,0.6333420941605377
76,Asterales,1000,0.9588965865188885
77,Atheliales,1000,2.346699830588376
78,Atractiellales,1000,0.6446429271480156
79,Atribacterales,1000,0.46186259976443433
80,Aulographales,1000,0.5906463492730724
81,Auriculariales,1000,0.38547469616978813
82,Axinellida,1000,
83,Bacillales,1000,0.4060156646161922
84,Bacillariales,1000,0.16137333201710607
85,Bacteriovoracales,1000,0.3949344794935891
86,Bacteroidales,1000,0.43589595309925566
87,Baeomycetales,1000,3.3716118721394275
88,Baerida,1000,
89,Balanomorpha,1000,0.5677009595278931
90,Balbianiales,1000,0.0018518055252808318
91,Balneolales,1000,0.5067865886918659
92,Bangiales,1000,1.5173810528752394
93,Baphyvirales,1000,
94,Bartheletiales,1000,0.0002077979207577378
95,Basidiobolales,1000,1.7663061167484173
96,Batrachospermales,1000,1.0168940756516942
97,Bdellovibrionales,1000,0.7533101264101796
98,Bicosoecida,1000,1.6623984393370788
99,Biddulphiales,1000,0.7624593036425467
100,Bifidobacteriales,1000,0.30913946238017476
101,Bivalvulida,1000,0.7232575331583958
102,Blasiales,1000,
103,Blastocatellales,1000,1.19343465346398
104,Blastocladiales,1000,0.28925333886722454
105,Blattodea,1000,0.36171553185131405
106,Boletales,1000,0.9000734677550979
107,Bonnemaisoniales,1000,0.475968342480526
108,Boraginales,1000,0.9956017022659283
109,Botrydiales,1000,0.5615781734222567
110,Botryosphaeriales,1000,0.7880344376966629
111,Brachypoda,1000,
112,Brachyspirales,1000,0.573214435701754
113,Bradymonadales,1000,0.22801367004756776
